2026-01-05,Monday,9,Kondapalli Fort,Andhra Pradesh,Fort,16.619,80.5397,27.2,4.9,0,0,55,0,72,High,0
2026-01-05,Monday,11,Kondapalli Fort,Andhra Pradesh,Fort,16.619,80.5397,29.9,20.7,0,0,55,0,76,High,0
2026-01-05,Monday,13,Kondapalli Fort,Andhra Pradesh,Fort,16.619,80.5397,27.3,3.3,0,0,55,0,46,Low,1
2026-01-05,Monday,15,Kondapalli Fort,Andhra Pradesh,Fort,16.619,80.5397,30.1,25.1,0,0,55,0,46,Low,1
2026-01-05,Monday,17,Kondapalli Fort,Andhra Pradesh,Fort,16.619,80.5397,31.3,14.7,0,0,55,0,52,Medium,0
2026-01-05,Monday,9,Borra Caves,Andhra Pradesh,Cave,18.28,83.05,32.8,26.6,0,0,38,0,47,Low,0
2026-01-05,Monday,11,Borra Caves,Andhra Pradesh,Cave,18.28,83.05,26.4,14.8,0,0,38,0,53,Medium,0
2026-01-05,Monday,13,Borra Caves,Andhra Pradesh,Cave,18.28,83.05,33.9,3.6,0,0,38,0,32,Low,0
2026-01-05,Monday,15,Borra Caves,Andhra Pradesh,Cave,18.28,83.05,28.4,12.6,0,0,38,0,17,Very Low,1
2026-01-05,Monday,17,Borra Caves,Andhra Pradesh,Cave,18.28,83.05,25.4,16.1,0,0,38,0,44,Low,0
2026-01-05,Monday,9,Araku Valley,Andhra Pradesh,Hill Station,18.3273,82.8775,26.1,32.3,0,0,35,0,48,Low,0
2026-01-05,Monday,11,Araku Valley,Andhra Pradesh,Hill Station,18.3273,82.8775,30.7,31.0,0,0,35,0,52,Medium,0
2026-01-05,Monday,13,Araku Valley,Andhra Pradesh,Hill Station,18.3273,82.8775,30.3,6.7,0,0,35,0,34,Low,0
2026-01-05,Monday,15,Araku Valley,Andhra Pradesh,Hill Station,18.3273,82.8775,32.0,34.5,0,0,35,0,21,Very Low,1
2026-01-05,Monday,17,Araku Valley,Andhra Pradesh,Hill Station,18.3273,82.8775,32.7,30.3,0,0,35,0,32,Low,0
2026-01-05,Monday,9,Undavalli Caves,Andhra Pradesh,Cave,16.4957,80.581,32.5,5.7,0,0,58,0,71,High,0
2026-01-05,Monday,11,Undavalli Caves,Andhra Pradesh,Cave,16.4957,80.581,28.2,23.5,0,0,58,0,70,Medium,0
2026-01-05,Monday,13,Undavalli Caves,Andhra Pradesh,Cave,16.4957,80.581,27.6,22.2,0,0,58,0,38,Low,0
2026-01-05,Monday,15,Undavalli Caves,Andhra Pradesh,Cave,16.4957,80.581,29.8,8.6,0,0,58,0,35,Low,1
2026-01-05,Monday,17,Undavalli Caves,Andhra Pradesh,Cave,16.4957,80.581,33.3,24.1,0,0,58,0,61,Medium,0
2026-01-05,Monday,9,Amaravati Stupa,Andhra Pradesh,Heritage,16.572,80.3575,27.0,11.3,0,0,43,0,51,Medium,0
2026-01-05,Monday,11,Amaravati Stupa,Andhra Pradesh,Heritage,16.572,80.3575,32.4,28.2,0,0,43,0,56,Medium,0
2026-01-05,Monday,13,Amaravati Stupa,Andhra Pradesh,Heritage,16.572,80.3575,30.6,2.3,0,0,43,0,40,Low,0
2026-01-05,Monday,15,Amaravati Stupa,Andhra Pradesh,Heritage,16.572,80.3575,31.5,7.4,0,0,43,0,21,Very Low,1
2026-01-05,Monday,17,Amaravati Stupa,Andhra Pradesh,Heritage,16.572,80.3575,29.5,31.0,0,0,43,0,43,Low,0
2026-01-06,Tuesday,9,Kondapalli Fort,Andhra Pradesh,Fort,16.619,80.5397,26.3,26.1,0,0,55,0,60,Medium,0
2026-01-06,Tuesday,11,Kondapalli Fort,Andhra Pradesh,Fort,16.619,80.5397,29.9,26.1,0,0,55,0,62,Medium,0
2026-01-06,Tuesday,13,Kondapalli Fort,Andhra Pradesh,Fort,16.619,80.5397,30.3,34.9,0,0,55,0,49,Low,0
2026-01-06,Tuesday,15,Kondapalli Fort,Andhra Pradesh,Fort,16.619,80.5397,26.2,17.3,0,0,55,0,37,Low,1
2026-01-06,Tuesday,17,Kondapalli Fort,Andhra Pradesh,Fort,16.619,80.5397,26.4,5.6,0,0,55,0,44,Low,0
2026-01-06,Tuesday,9,Borra Caves,Andhra Pradesh,Cave,18.28,83.05,31.1,20.9,0,0,38,0,39,Low,0
2026-01-06,Tuesday,11,Borra Caves,Andhra Pradesh,Cave,18.28,83.05,29.2,8.8,0,0,38,0,59,Medium,0
2026-01-06,Tuesday,13,Borra Caves,Andhra Pradesh,Cave,18.28,83.05,32.0,33.0,0,0,38,0,27,Very Low,0
2026-01-06,Tuesday,15,Borra Caves,Andhra Pradesh,Cave,18.28,83.05,33.0,26.3,0,0,38,0,17,Very Low,1
2026-01-06,Tuesday,17,Borra Caves,Andhra Pradesh,Cave,18.28,83.05,31.9,11.9,0,0,38,0,39,Low,0
2026-01-06,Tuesday,9,Araku Valley,Andhra Pradesh,Hill Station,18.3273,82.8775,25.0,25.3,0,0,35,0,46,Low,0
2026-01-06,Tuesday,11,Araku Valley,Andhra Pradesh,Hill Station,18.3273,82.8775,31.5,34.0,0,0,35,0,50,Low,0
2026-01-06,Tuesday,13,Araku Valley,Andhra Pradesh,Hill Station,18.3273,82.8775,28.0,21.9,0,0,35,0,17,Very Low,1
2026-01-06,Tuesday,15,Araku Valley,Andhra Pradesh,Hill Station,18.3273,82.8775,32.6,17.8,0,0,35,0,19,Very Low,0
